pid,registry_name,registry_parser,registry_maxX,registry_maxY,registry_maxP,registry_confidence,kernel_name,kernel_maxX,kernel_maxY,kernel_maxP,kernel_type,otd_name,otd_maxX,otd_maxY,otd_maxP,otd_parser,verdict,notes
0x0101,<missing>,,,,,,Wacom ISDv4 101,26202,16325,255,MTTPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x010D,<missing>,,,,,,Wacom ISDv4 10D,26202,16325,255,MTTPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x010E,<missing>,,,,,,Wacom ISDv4 10E,27760,15694,255,MTTPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x010F,<missing>,,,,,,Wacom ISDv4 10F,27760,15694,255,MTTPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0116,<missing>,,,,,,Wacom ISDv4 116,26202,16325,255,TABLETPCE,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x012C,<missing>,,,,,,Wacom ISDv4 12C,27848,15752,2047,TABLETPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0307,<missing>,,,,,,Wacom ISDv5 307,59552,33848,2047,CINTIQ_HYBRID,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x030A,<missing>,,,,,,Wacom ISDv5 30A,59552,33848,2047,CINTIQ_HYBRID,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0325,<missing>,,,,,,Wacom ISDv5 325,59552,33848,2047,CINTIQ_COMPANION_2,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x032A,<missing>,,,,,,Wacom Cintiq 27QHD,120140,67920,2047,WACOM_27QHD,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x032B,<missing>,,,,,,Wacom Cintiq 27QHD touch,120140,67920,2047,WACOM_27QHD,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x032F,<missing>,,,,,,Wacom DTU1031X,22672,12928,511,DTUSX,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0333,<missing>,,,,,,Wacom Cintiq 13HD touch,59552,33848,2047,WACOM_13HD,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0336,<missing>,,,,,,Wacom DTU1141,23672,13403,1023,DTUS,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0343,<missing>,,,,,,Wacom DTK1651,34816,19759,1023,DTUS,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0379,<missing>,,,,,,Wacom Intuos BT M,21600,13500,4095,INTUOSHT3_BT,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x0393,<missing>,,,,,,Wacom Intuos Pro S,31920,19950,8191,INTUOSP2S_BT,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x03C6,<missing>,,,,,,Wacom Intuos BT S,15200,9500,4095,INTUOSHT3_BT,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x03C8,<missing>,,,,,,Wacom Intuos BT M,21600,13500,4095,INTUOSHT3_BT,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x03DD,<missing>,,,,,,Wacom Intuos Pro S,31920,19950,8191,INTUOSP2S_BT,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x4001,<missing>,,,,,,Wacom ISDv4 4001,26202,16325,255,MTTPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x4004,<missing>,,,,,,Wacom ISDv4 4004,11060,6220,255,MTTPC_B,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x5000,<missing>,,,,,,Wacom ISDv4 5000,27848,15752,1023,MTTPC_B,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x5002,<missing>,,,,,,Wacom ISDv4 5002,29576,16724,1023,MTTPC_B,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
0x6004,<missing>,,,,,,ISD-V4,12800,8000,255,TABLETPC,,,,,,missing_from_registry,kernel and/or OTD know this PID; registry does not
